Title,Author First Name,Author Last Name,Category,Location
How and Why Animals Hatch From Eggs,Elaine,Pascoe,Farm,Resource Room
How Are You Peeling? Foods With Moods,Saxton,Fraymann,Food/Nutrition,Resource Room
How Can I Help?,Katie,Daynes,Kindness/Manners,Resource Room
How Did I Get That In My Lunchbox? The Story of Food,Chris,Butterworth,Garden,STEAM
How Did That Get In My Lunchbox? The Story Of Food,Chris,Butterworth,Food/Nutrition,Resource Room
How do Apples Grow?,Betsy,Maestro,Apples,Resource Room
How do Apples Grow?,Jill,McDonald,Apples,Resource Room
How Do Apples Grow?,Betsy,Maestro,Food/Nutrition,Resource Room
How Do Dinosaurs Day Goodbye?,Jane,Yolen,Dinosaurs,Resource Room
How Do Dinosaurs Eat Their Food?,Jane,Yolen,Dinosaurs,Resource Room
How Do Dinosaurs Get Well Soon?,Jane,Yolen,Dinosaurs,Resource Room
How Do Dinosaurs Go to School?,Jane,Yolen,School,Resource Room
How Do Dinosaurs Learn to Be Kind?,Jane,Yolen,Kindness,Resource Room
How Do Dinosaurs Say Good Night?,Jane,Yolen,Dinosaurs,Resource Room
How Do Dinosaurs Say I Love You?,Jane,Yolen,Valentine's Day,Resource Room
How Do Dinosaurs Say I'm Mad,Jane,Yolen,Feelings & Emotions,Resource Room
How Do Dinosaurs Say I'm Mad?,Jane,Yolen,Feelings/Emotion,Resource Room
How Do Dinosaurs Stay Friends?,Jane,Yolen,Dinosaurs,Resource Room
How Do Dinosaurs Stay Friends?,Jane,Yolen,How To Be A Friend,Resource Room
How Do Dinosaurs Stay Safe?,Jane,Yolen,Dinosaurs,Resource Room
How do Dinosaurs Stay Safe?,Jane,Yolen,,
How Do I Love You?,Leslie,Kimmelman,Mother's Day/ Father's Day,Resource Room
How Do You Feel?,Lizzy,Rockwell,Feelings And Emotions,Resource Room
How Do You Feel?,Lizzy,Rockwell,Feelings/Emotion,Resource Room
How Do You Make A Rainbow?,Caroline,Crowe,Colors,Resource Room
How Droofus The Dragon Lost His Head,Bill ,Peet,Dinosaurs,Resource Room
How Fletcher Was Hatched!,Wende,Devlin,S.T.E.A.M. Lab,S.T.E.A.M.
How Full is your Bucket?,Tom,Rath,Beginning of the Year,Resource Room
How Full is Your Bucket?,Tom,Rath,,
How Full Is Your Bucket? For Kids,Tom,Rath,Kindness,Resource Room
How Full Is Your Bucket? For Kids,Tom,Rath,Kindness/Manners,Resource Room
How Groundhog's Garden Grew,Lynne,Cherry,Garden,STEAM
How Santa Got His Job,Stephen,Krensky,Christmas,Resource Room
How The Crayons Saved The Earth,Monica,Sweeney,Earth Day,Resource Room
How The Crayons Saved The Rainbow,Monica,Sweeney,Colors,Resource Room
How The Crayons Saved the Rainbow,Monica,Sweeny,Feelings/Emotion,Resource Room
How the Crayons Saved the School,Monica,Sweeney,School,Resource Room
How To Brush Your Teeth With Snappy Croc,Jane ,Clarke,Dental Health,Resource Room
How to Build a Fizzy Rocket,Lori,Shores,Transportation,S.T.E.A.M.
How To Catch A Class Pet,Alice,Walstead,Pets,Resource Room
How To Catch A Dinosaur,Adam,Wallace,Dinosaurs,Resource Room
How To Catch A Elf,Adam,Wallace,December Holidays,Resource Room
How To Catch A Gingerbread man,Adam,Wallace,Gingerbread,Resource Room
How To Catch A Leprechaun,Adam,Wallace,St. Patricks Day,Resource Room
How To Catch A Loveosaurus,Alice,Walstead,Valentine's Day,Resource Room
How To Catch A Reindeer,Alice,Walstead,Christmas,Resource Room
How to Catch a Snowman,Adam,Wallace,Winter,Resource Room
How To Catch A Turkey,Adam,Wallace,Thanksgiving,Resource Room
How To Catch A Witch,Alice,Walstead,Halloween,Resource Room
How To Catch A Yeti,Adam,Wallace,Polar Animals,Resource Room
How To Catch The Easter Bunny,Adam,Wallace,Easter,Resource Room
How to Dress a Dragon,Thelma Lynne,Godin,Activity Room,Activity Room
How To Hug A Pufferfish,Ellie,Peterson,Ocean,Resource Room
How To Make A Friend,Stephen W.,Martin,How To Be A Friend,Resource Room
How to Make a Mystery Smell Balloon,Lori,Shores,S.T.E.A.M. Lab,S.T.E.A.M.
How To Make Bubbles,Erika L.,Shores,Summer,Resource Room
How To Make Bubbles,Erika L.,Shores,Weather/Forces,S.T.E.A.M.
How to Make Slime,Lori,Shores,Transportation,S.T.E.A.M.
How To Meet A Mermaid,Sue,Fliess,Ocean,Resource Room
How To Say Hello To A Worm: A First Guide To Outside,Kari,Percival,Spring,Resource Room
How to Say Thank You,Amy Krouse,Rosenthal,Kindness/Manners,Resource Room
How To Say Thank You,Amy Krouse,Rosenthal,Thanksgiving,Resource Room
How To Track An Easter Bunny,Sue,Fliess,Easter,Resource Room
How To Trap A Leprechaun,Sue,Fliess,St. Patricks Day,Resource Room
How To Trick A Christmas Elf,Sue,Fliess,Christmas,Resource Room
Hug,Jez,Alborough,Board Book,Resource Room
Hug Machine,Scott,Campbell,Valentine's Day,Resource Room
Huggapotamus,Steve,Metzger,Alaphabet,Resource Room
Hugless Douglas And The Perfect Spring Day,David,Melling,Spring,Resource Room
Hullabaloo at the Zoo,Zanna,Davidson,Zoo,Resource Room
Hundred Feet Tall,Benjamin,Scheuer,Spring,Resource Room
Hurry Up!,Kate,Dopirak,Activity Room,Activity Room
Hurry Up!,Kate,Dopirak,All About Me,Resource Room
I Am (Not) Scared,Anna,Kang,Feelings/Emotion,Resource Room
I Am A Great Friend,Lauren,Stohler,How To Be A Friend,Resource Room
I am a Great Friend!,Lauren,Stohler,Activity Room,Activity Room
I Am a Rainbow,Dolly,Parton,Rocks/Emotions,S.T.E.A.M.
I am Brave,Suzy,Capozzi,Specials,Specials
I am Brave,Suzy,Capozzi,,
I am Helpful,Suzy,Capozzi,Specials,Specials
I am Helpful,Suzy,Capozzi,,
I am Invited to a Party?,Mo ,Williams,Author Study,Author Study
I Am Kind,Suzy,Capozzi,Kindness/Manners,Resource Room
I am Kind,Suzy,Capozzi,Specials,Specials
I am Love A Book of Compassion,Peter,Reynolds,Author Study,Author Study
I Am Love A Book of Compassion,Susan,Verde,Valentine's Day,Resource Room
I am Me A Book of Authenticity,Peter,Reynolds,Author Study,Author Study
I Am Ruby Bridges,Ruby ,Bridge,Black History,Resource Room
I am Smart,Suzy,Capozzi,Rocks/Emotions,S.T.E.A.M.
I am Smart,Suzy,Capozzi,Specials,Specials
I am So Brave!,Stephen,Krensky,,
I am Strong,Suzy,Capozzi,Specials,Specials
I am Strong,Suzy,Capozzi,Sports,Resource Room
I am Thankful,Suzy,Capozzi,Specials,Specials
I Am Thankful,Suzy,Capozzi,Thanksgiving,Resource Room
I am Yoga,Peter,Reynolds,Author Study,Author Study
I Broke My Trunk!,Mo ,Williams,Author Study,Author Study
I Can Be Anything!,Jerry,Spinelli,All About Me,Resource Room
I Can Count To 10,Claire,Fenell,Numbers,Resource Room
I Can Do it Myself!,Stephen,Krensky,Activity Room,Activity Room
I Can Read About Planets,Darrow,Schecter,Space,Resource Room
I Can Write,Rozanne Lanczak,Williams,Rocks/Emotions,S.T.E.A.M.
I Color Myself Different,Colin,Kaepernick,Accepting Differences,Resource Room
I Don't Want To Be Big,Dev,Petty,Pond,Resource Room
I got the Rhythm,Connie,Schofield-Morrison,All About Me,Resource Room
I Got the Rhythm,Connie,Schofield-Morrison,Music,Specials
I Have a Little Dreidel,Maxie,Baum,December Holidays,Resource Room
"I Hear a Pickle (and Smell, See, Touch, and Taste it, Too!)",Rachel,Isadora,Five Senses,Resource Room
I Heard Said the Bird,Polly Berrien,Berends,Farm,Resource Room
I knew you could!,Craig,Dorfman,All About Me,Resource Room
I Know a Lot!,Stephen,Krensky,,
I Know An Old Lady Who Swallowed A Dreidel,Caryn,Yacowitz,December Holidays,Resource Room
I Know Why I Brush My Teeth,Kate,Rowan,Dental Health,Resource Room
I Like Me,Nancy ,Carlson,All About Me,Resource Room
I Like Myself,Karen,Beaumont,All About Me,Resource Room
I Like the Rain,Claude ,Belanger,Weather/Forces,S.T.E.A.M.
I Love Bugs!,Philemon,Sturges,Insects,S.T.E.A.M.
I Love It When You Smile,Sam,McBratney,,
I Love Mud and Mud Loves Me,Vicki,Stephens,Valentine's Day,Resource Room
I Love My Daddy Because...,Laurel,Porter-Gaylord,Board Book,Resource Room
I Love My Hat,Douglas,Florian,Farm,Resource Room
I Love My New Toy,Mo ,Williams,Author Study,Author Study
I Love Planes!,Philemon,Sturges,Transportation,S.T.E.A.M.
I Love Tools!,Philemon,Sturges,Building,STEAM
I Love You  As Much...,Laura Krauss,Melmed,Mother's Day/Father's Day,Resource Room
I Love You A Latke!,Joan,Holub,December Holidays,Resource Room
I Love You Because You're You,Liza,Baker,Mother's Day/Father's Day,Resource Room
I Love You Just The Way You Are!,James,Dillon,Valentine's Day,Resource Room
"I Love You, Little Monkey",Alan,Durant,Activity Room,Activity Room
"I Love You, Too!",Eve,Bunting,Valentine's Day,Resource Room
I Miss You When You Sleep,Elysse,Wagner,Activity Room,Activity Room
"I MIss You, Stinky Face",Lisa,McCourt,Mother's Day/Father's Day,Resource Room
I Need a Hug,Aaron,Blabey,Author Study,Author Study
I Promise,LeBron,James,All About Me,Resource Room
I Say OOH You Say AAH,John,Kane,Activity Room,Activity Room
I See Fall,Charles,Ghigna,Fall,Resource Room
I See Spring,Charles,Ghigna,Spring,Resource Room
I Stink!,Kate,McMullan,Community Helpers,Resource Room
I Wanna Iguana,Karen,Orloff,Zoo Phonics,Resource Room
I Want a Pet,Barbara,Gregorich,Animals,S.T.E.A.M.
I Want To Be A Doctor,Laura,Driscoll,Community Helpers,Resource Room
I Want to be a Firefighter,Firefly,Books,Fire Safety,Resource Room
I Want To Be A Police Officer,Laura,Driscoll,Community Helpers,Resource Room
I Want to Be an Astronaut,Bryon,Barton,Space,Resource Room
I Want To Be An Engineer,Laura,Driscoll,Community Helpers,Resource Room
I Wasnt To Be a Veterinarian,Laura,Driscoll,Community Helpers,Resource Room
I Will Never Not Ever Eat a Tomato,Lauren,Child,Food/Nutrition,Resource Room
I Will Surprise My Friend!,Mo ,Williams,Author Study,Author Study
I Wish You More,Amy Krouse,Rosenthal,Activity Room,Activity Room
I Wonder Why Stars Twinkle and other questions about Space,Carole,Stott,Space,Resource Room
I'll Love You Till The Cows Come Home,Kathryn,Cristaldi,S.T.E.A.M.,S.T.E.A.M.
"I'll Wait, Mr. Panda",Steve,Antony,Beginning of the Year,Resource Room
"I'll Wait, Mr. Panda",Steve,Antony,Kindness,Resource Room
"I'll Wait, Mr. Panda",Steve,Antony,School,Resource Room
I'm a Caterpillar,Jean,Marzollo,Bugs,Resource Room
I'm a Frog!,Mo ,Williams,Author Study,Author Study
I'm a Little Teapot,Iza,Trapani,Fairy Tales,S.T.E.A.M.
I'm A Seed,Jean,Marzollo,Spring,Resource Room
I'm Brave!,Kate,McMullan,Fire Safety,Resource Room
I'm Gonna Like Me,Jamie Lee,Curtis,Activity Room,Activity Room
"I'm Like You, You're Like Me",Cindy,Gainer,Accepting Differences,Resource Room
I'm Not Cute!,Jonathan,Allen,,
I'm Not Grumpy!,Steve,Smallman,Feelings & Emotions,Resource Room
I'm Thankful Each Day!,P.K.,Hallinan,Thanksgiving,Resource Room
I'm The Biggest Thing In The Ocean,Kevin,Sherry,Ocean,Resource Room
If Animals Gave Thanks,Ann,Whitford,Helping & Giving,Resource Room
If Animals Gave Thanks,Ann Whitford,Paul,Thanksgiving,Resource Room
If Big Can... ....I can,Beth,Shoshan,,
If I Could Drive A Crane!,Michael,Teitelbaum,Construction,Resource Room
If I were a Hippo,Annie,Wilkinson,Board Book,Resource Room
If I were a Rabbit,Anne,Wilkinson,Board Book,Resource Room
If I Were a Rabbit,Anne,Willkinson,Board Book,Resource Room
If You Decide to Go to the Moon,Faith,McNulty,Space,Resource Room
If You Give a Dog a Donut,Laura,Numeroff,Author Study,Author Study
If You Give a Moose a Muffin,Laura,Numeroff,Author Study,Author Study
If You Give a Mouse a Brownie,Laura,Numeroff,Author Study,Author Study
If You Give a Mouse a Cookie,Laura,Numeroff,Author Study,Author Study
If You Give a Pig a Pancake,Laura,Numeroff,Author Study,Author Study
If You Give a Pig A Pancake,Laura,Numeroff,Author Study,Author Study
If You Give a Pig a Pancake,Laura,Numeroff,Farm,Resource Room
If You Give a Pig a Party,Laura,Numeroff,Author Study,Author Study
If You Take a Mouch to School,Laura,Numeroff,Board Book,Resource Room
If you take a mouse to school,Laura ,Numeroff,Beginning of the Year,Resource Room
If You Take a Mouse to the Movies,Laura,Numeroff,Author Study,Author Study
If You're Happy and You Know It!,Jane,Cabera,Activity Room,Activity Room
If You're Happy And You Know It!,Jan,Ormerod,Feelings & Emotions,Resource Room
If You're Spooky And You Know It,Aly,Fronis,Halloween,Resource Room
If Your're Thankful And You Know It,Chrissy,Bozik,Thanksgiving,Resource Room
"Iggy Peck, Architect",Andrea,Beaty,S.T.E.A.M.,S.T.E.A.M.
In My Garden,Ruth A.,Musgrave,Garden,STEAM
In My Garden,Ruth A.,Musgrave,Spring,Resource Room
In the Forest,Shira,Evans,Animals,S.T.E.A.M.
In The Garden With Van Gogh,Julie,Merberg,Artists,S.T.E.A.M.
In The Pond,Linda,Cave,Pond,Resource Room
"In the Small, Small Pond",Denise,Fleming,Author Study,Author Study
"In The Small, Small Pond",Denise,Fleming,Pond,Resource Room
"In the Tall, Tall Grass",Denise,Fleming,Author Study,Author Study
Inch by Inch,Leo,Lionni,Animals,S.T.E.A.M.
Inch by Inch,Leo,Lionni,Author Study,Author Study
Inch By Inch,Leo,Lionni,Zoo Phonics,Resource Room
Inclined Planes,Martha E. H.,Rustad,Building,STEAM
Incredible Insects,Zoe,Barnes,Insects,S.T.E.A.M.
Incredible You!,Dr. Wayne,Dyer,All About Me,Resource Room
Inside Your Outside! All About The Human Body,Tish,Rabe,Me & My Body,Resource Room
Interrupting Chicken,David Ezra,Stein,Farm,Resource Room
Interupting Chicken,David Ezra,Stein,Activity Room,Activity Room
"Into the A, B, Sea",Deborah Lee,Rose,Sea Life,
Ish,Peter H.,Reynolds,Artists,S.T.E.A.M.
Ish,Peter,Reynolds,Author Study,Author Study
Ish,Peter H.,Reynolds,Feelings & Emotions,Resource Room
Ish,Peter H.,Reynolds,Rocks/Emotions,S.T.E.A.M.
It Is Winter!,Brad,Carmichael,Winter,Resource Room
It Looked Like Spilt Milk,Charles G.,Shaw,Food/Nutrition,Resource Room
It's Fall!,Linda,Glaser,Fall,Resource Room
It's Kwanzaa Time!,Synthia Saint,James,December Holidays,Resource Room
It's Mine!,Leo,Lionni,Author Study,Author Study
It's Okay To Be Different,Todd,Parr,Accepting Differences,Resource Room
It's Okay To Be Different,Sharon,Purtill,Accepting Differences,Resource Room
It's Okay to Be Different,Todd,Parr,All About Me,Resource Room
It's Okay to Make Mistakes,Todd,Parr,All About Me,Resource Room
It's Okay to Make Mistakes,Todd ,Parr,School,Resource Room
"It's Pumpkin Day, Mouse!",Laura,Numeroff,Halloween,Resource Room
It's Pumpkin Time!,Zoe,Hall,Fall,Resource Room
It's Pumpkin Time!,Zoe,Hall,Fall,Resource Room
"It's Raining, It's Pouring",Kin,Eagle,Weather,Resource Room
It's Snowing!,Gail,Gibbons,Winter,Resource Room
It's Snowing!,Gail,Gibbons,Winter,Resource Room
It's Spring!,Linda,Glaser,Spring,Resource Room
It's Summer!,Linda,Glaser,Summer,Resource Room
It's Winter!,Linda,Glaser,Winter,Resource Room
Jabari Jumps,Gaia,Cornwall,Sports,Resource Room
Jabari Tries,Gaia,Cornwall,Activity Room,Activity Room
Jabari Tries,Gaia,Cornwall,S.T.E.A.M.,S.T.E.A.M.
Jack And The Beanstalk,Mara,Alperin,Fairy Tales,Resource Room
Jack And The Beanstalk,Carol,Ottolenghi,Fairy Tales,Resource Room
Jamaica,Josephine,Grant,Specials,Specials
Jane Goodall,Isabel Sanchez,Vegara,Zoo,Resource Room
Jennie's Hat,Ezra Jack,Keats,Author Study,Author Study
Jessica,Kevin,Henkes,How To Be A Friend,Resource Room
Jessica ,Kevin,Henkes,,
Jessica's Box,Peter,Carnavas,Activity Room,Activity Room
Jilly's Terrible Temper Tantrums And How She Outgrew Them,Martha Heineman,Pieper,Feelings & Emotions,Resource Room
Josh And The Whoo Whoo,David,Bedford,Easter,Resource Room
Josh and the Whoo Whoo,David,Bedford,,
Joy Takes Root,Gwendolyn,Wallace,Spring,Resource Room
"Jump, Pup!",Susan B.,Neuman,Animals,S.T.E.A.M.
Jump!,Eric,Carle,Pond,Resource Room
Jupiter And Saturn,Rosalind,Mist,Space,Resource Room
Just A Baby Bird,Mercer,Mayer,Helping & Giving,Resource Room
Just a Snowman,Mercer,Mayer,Winter,Resource Room
Just Critters Who Care,Marcer,Mayer,Helping & Giving,Resource Room
Just For You,Mercer,Mayer,Activity Room,Activity Room
Just Going To The Dentist,Mercer,Mayer,Dental Health,Resource Room
Just Helping My Dad,Mercer,Mayer,Helping & Giving,Resource Room
Just Itzy,Lana,Krumwiede,Me & My Body,Resource Room
Just Me And My Dad,Mercer,Mayer,Mother's Day/ Father's Day,Resource Room
Just Me And My Mom,Mercer,Mayer,Mother's Day/ Father's Day,Resource Room
Just One!,Sam,McBratney,,
Just Open a Book,P.K.,Hallinan,School,Resource Room
K is for Kwanzaa,Juwanda G.,Ford,December Holidays,Resource Room
Kangeroos Can Hop!,Liza,Charlesworth,Animals,S.T.E.A.M.
Katie and the Starry Night,James,Mayhew,Artists,S.T.E.A.M.
Katy And The Big Snow,Virginia Lee,Burton,Winter,Resource Room
Keat's Neighborhood,Ezra Jack,Keats,Author Study,Author Study
Keeping Clean,Sian,Smith,Germs & Hygiene,Resource Room
Keeping Us Healthy,Fotini,Tikkou,Germs & Hygiene,Resource Room
Keeping You Safe: A Book About Police Officers,Ann,Owen,Community Helpers,Resource Room
"Kick It, Mo!",David A.,Adler,Sports,Resource Room
Kind,Axel,Scheffler,Kindness,Resource Room
Kindness,Helen,Mortimer,Kindness/Manners,Resource Room
Kindness is my Superpower,Alicia,Ortego,Kindness,Resource Room
Kindness Starts With You,Jacquelyn,Stagg,Kindness/Manners,Resource Room
Kindness to Share from A to Z,Todd,Snow,Kindness,Resource Room
Kindness to Share from A to Z,Todd,Snow,Kindness/Manners,Resource Room
Kipper's Snowy Day,Mick,Inkpen,Winter,Resource Room
Kisses,Nanda,Roep,Mother's Day/ Father's Day,Resource Room
Kitty Tales Pepper,Stewart,Cowley,Pets,Resource Room
Knuffle Bunny,Mo ,Williams,Author Study,Author Study
Ladybug Girl,David,Soman,,
Ladybug Girl at the Beach,David,Somar,Activity Room,Activity Room
Last Stop on Market Street,Matt,De La Pena,Activity Room,Activity Room
Leaf Jumpers,Carole,Gerber,Fall,Resource Room
Leaf Trouble,Jonathan ,Emmett,Fall,Resource Room
Learn Your Colors,,,Colors,Resource Room
Learning to Share,Meredith,Rusu,Kindness/Manners,Resource Room
Leaves,Melvin,Berger,Fall,Resource Room
Leaves,Marilyn ,Easton,Fall,Resource Room
Leaves,David Ezra,Stein,Fall,Resource Room
Leaves Fall Down: Learning About Autumn Leaves,Lisa,Bullard,Fall,Resource Room
Length,Henry,Pluckrose,Weather/Forces,S.T.E.A.M.
Leo the Late Bloomer,Robert,Kraus,All About Me,Resource Room
Leonardo the Terrible Monster,Mo,Williams,Activity Room,Activity Room
Leonardo the Terrible Monster,Mo ,Williams,Author Study,Author Study
Leprechaun On The Loose,Marcia Thornton,Jones,St. Patricks Day,Resource Room
Let It Fall,Maryann,Cocca-Leffler,Fall,Resource Room
Let It Fall,Maryann,Cocca-Leffler,Fall,Resource Room
Let It Snow,Maryann,Cocca-Leffler,Winter,Resource Room
Let it Snow,Holly,Hobbie,Winter,Resource Room
Let's Build!,Mike,Trainor,Construction,Resource Room
Let's Go for a Drive!,Mo ,Williams,Author Study,Author Study
"Let's Go Home, Little Bear",Martin,Waddell,Activity Room,Activity Room
Let's Go!,Lindsay,Ward,Transportation,Resource Room
Lettuce Grows On The Ground,Mari,Schuh,Food/Nutrition,Resource Room
Levers,Martha E. H.,Rustad,Building,S.T.E.A.M.
Levers,Andrea,Rivera,Building,STEAM
Levers,Martha E. H.,Rustad,Weather/Forces,S.T.E.A.M.
Li'l Rabbit's Kwanzaa,Donna L.,Washington,December Holidays,Resource Room
Life-Size Dinosaurs,David,Bergen,Dinosaurs,Resource Room
Lift-the-flap ABC,Hannah,Watson,Alaphabet,Resource Room
Lift-the-flap Colors,Felicity,Brooks,Colors,Resource Room
Lift-the-flap First Questions and Answers How Do Animals Talk?,Katie,Daynes,Zoo,Resource Room
Lift-the-flap Numbers,Felicity,Brooks,Numbers,Resource Room
Lift-the-flap Questions and Answers about Animals,Katie,Daynes,Zoo,Resource Room
Lift-the-flap Questions and Answers about Dinosaurs,Katie,Daynes,Dinosaurs,Resource Room
Lift-the-flap Very First Questions and Answers: What Are Clouds?,Katie,Daynes,Weather,Resource Room
Lift-the-flap Very First Questions and Answers: What is Snow?,Marta Alvarez,Miguens,Winter,Resource Room
"Lila Greer, Teacher Of The Year",Andrea,Beaty,S.T.E.A.M.,S.T.E.A.M.
Lilly's Purple Plastic Purse,Kevin,Henkes,Activity Room,Activity Room
Lions,Laura,Marsh,Zoo,Resource Room
Listen Like an Elephant,Kira,Willey,Board Book,Resource Room
Listening To My Body,Gabi,Garcia,Feelings & Emotions,Resource Room
Little Acorn,Melanie,Joyce,Beginning of the Year,Resource Room
Little Acorn,Melanie,Joyce,School,Resource Room
Little Apple,Brigitte,Weninger,Apples,Resource Room
Little Baseball,Brad,Herzog,Sports,Resource Room
Little Basketball,Brad,Herzog,Sports,Resource Room
Little Bea and The Snowy Day,Daniel,Roode,Winter,Resource Room
Little Blue And Little Yellow,Leo,Lionni,Colors,Resource Room
Little Blue Truck,Alice,Schertle,Transportation,Resource Room
Little Blue Truck Makes A Friend,Alice,Schertle,How To Be A Friend,Resource Room
Little Blue Truck's Valentine,Alice,Schertle,Valentine's Day,Resource Room
Little Boo,Stephen,Wunderli,Halloween,Resource Room
Little Cloud,Eric,Carle,Author Study,Author Study
Little Comet,Wednesday,Jones,Space,Resource Room
Little Critter's The Night Before Christmas,Mercer,Mayer,Christmas,Resource Room
Little Dreidel Learns To Spin,Rebecca Gardyn,Levington,December Holidays,Resource Room
Little Elliot Fall Friends,Mike,Curato,Fall,Resource Room
Little Engines Can Do Big Things,Britt,Allcroft,Transportation,Resource Room
Little Excavator,Anna,Dewdney,Construction,Resource Room
Little Football,Brad,Herzog,Sports,Resource Room
Little Kippers Sandcastle,Mick,Inkpen,Summer,Resource Room
Little Leaders: Bold Woman in Black History,Vashti,Harrison,Black History,Resource Room
Little Leaders: Exceptional Men in Black History,Vashti,Harrison,Black History,Resource Room
Little Owl's Night,Dinya,Srinivasan,Animals,S.T.E.A.M.
Little Owl's Night,Divya,Srinivasan,,
Little Owl's Snow,Divya,Srinivasan,Polar Animals,Resource Room
Little Pea,Amy Krouse,Rosenthal,Food/Nutrition,Resource Room
"Little People, Big Dreams: Harriet Tubman",Isabel Sanchez,Vegara,Black History,Resource Room
"Little People, Big Dreams: Rosa Parks",Lisbeth,Kaiser,Black History,Resource Room
Little Pumpkin,Suzanne,Fossey,Halloween,Resource Room
Little Quack New Friend,Lauren,Thompson,How To Be A Friend,Resource Room
Little Racoon Learns to Share,Mary,Packard,Sharing,Resource Room
Little Rainbow,Melanie,Joyce,Weather,Resource Room
Little Red Riding Hood,Mara,Alperin,Fairy Tales,Resource Room
Little Red Riding Hood,Peter,Stevenson,Fairy Tales,S.T.E.A.M.
Little Ree Best Friends Forever,Ree,Drummond,How To Be A Friend,Resource Room
Little Snowflake,Suzanne,Fossey,Winter,Resource Room
Little Sunflower,Suzanne,Fossey,Spring,Resource Room
Little Turtle's Book Of The Blue,Yuval,Zommer,Pond,Resource Room
Little Yellow and little yellow,Leo,Lionni,Author Study,Author Study
Living Things,Dorothy,Avery,Animals,S.T.E.A.M.
Llama Llama and the bully goat,Anna,Dewdney,Kindness,Resource Room
Llama Llama Hide & Seek,Anna,Dewdney,Board Book,Resource Room
Llama Llama Hoppity-hop,Anna,Dewdney,Board Book,Resource Room
Llama Llama Loves Camping,Anna,Dewdney,Camping,Resource Room
Llama Llama Loves to Read,Anna,Dewdney,School,Resource Room
Llama Llama Mad At Mama,Anna,Dewdney,Mother's Day/ Father's Day,Resource Room
Llama Llama Misses Mama,Anna ,Dewdney,Mother's Day/ Father's Day,Resource Room
Llama Llama Red Pajama,Anna,Dewdney,Activity Room,Activity Room
Llama Llama Red Pajama,Anna,Dewdney,Activity Room,Activity Room
Llama Llama Red Pajama,Anna,Dewdney,Board Book,Resource Room
Llama Llama Red Pajama,Anna,Dewdney,Board Book,Resource Room
Llama Llama time to share,Anna,Dewdney,Sharing,Resource Room
Llama Llama Wakey-wake,Anna,Dewdney,Board Book,Resource Room
Llama Llama Zippity-Zoom,Anna,Dewdney,Board Book,Resource Room
LMNO Pea-quel,Keith,Baker,Activity Room,Activity Room
LMNO Peas,Keith,Baker,Activity Room,Activity Room
LMNO Peas,Keith,Baker,Alaphabet,Resource Room
Lola Goes to School,Anna,McQuinn,School,Resource Room
Lola Loves Stories,Anna,McQuinn,Family,Resource Room
Lola Plants A Garden,Anna,McQuinn,Spring,Resource Room
Lola Reads to Leo,Anna,McQuinn,Family,Resource Room
Lola Reads to Leo,Anna,McQuinn,,
Look At That Building!,Scot,Ritchie,Building,STEAM
Look Inside How Things Work,Rob Lloyd,Jones,S.T.E.A.M.,Resource Room
Look inside Space,Rob Lloyd,Jones,Space,Resource Room
Look Inside The world of Bees,Emily ,Bone,Bugs,Resource Room
Look Inside Trains,Alex,Frith,Transportation,Resource Room
Look Out For Turtles,Melvin,Berger,Pond,Resource Room
Look Outside!,Scholastic,,Weather,Resource Room
Look What I Did With A Leaf!,Morteza E.,Sohi,Garden,STEAM
"Look, Listen, Taste, Touch, and Smell Learning about your Five Senses",Pamela Hill,Nettleton,Five Senses,Resource Room
Lost And Found,Oliver,Jeffers,Winter,Resource Room
Lots of Dots,Craig,Frazier,Artists,S.T.E.A.M.
Lottie's New Beach Towel,Petra,Mathers,Summer,Resource Room
Love,Stacy,McAnulty,Valentine's Day,Resource Room
Love Bug,Jess,Moorhouse,Valentine's Day,Resource Room
Love Bugs,David A.,Carter,Valentine's Day,Resource Room
Love From Giraffes Can't Dance,Giles,Andreae,Valentine's Day,Resource Room
Love From The Crayons,Drew,Daywalt,Valentine's Day,Resource Room
Love is All Around the World,Wendi,Silvano,Valentine's Day,Resource Room
"Love Me, Love You",Susan Heyboer,O'Keefe,Mother's Day/ Father's Day,Resource Room
Love Monster,Rachel,Bright,Valentine's Day,Resource Room
Love The World,Todd,Parr,Earth Day,Resource Room
Love You By Heart,Peter H.,Reynolds,Valentine's Day,Resource Room
Love You Until...,Lisa,McCourt,Valentine's Day,Resource Room
Love You When...,Linda,Kranz,Valentine's Day,Resource Room
"Love, Splat",Rob,Scotton,Valentine's Day,Resource Room
Lovely Ladybugs,Lydia,Carlin,Bugs,Resource Room
Lunch,Denise,Fleming,Author Study,Author Study
Lunch,Bruce,Larkin,Food/Nutrition,Resource Room
M Life as a Chicken,Ellen A.,Kelley,Farm,Resource Room
Mad About Spiders Bugs and other Insects,Sarah,Creese,Insects,S.T.E.A.M.
Mad About Tractors Trucks Diggers and Dumpers,Sarah,Creese,Construction,Resource Room
Mad Mad Bear!,Kimberly,Gee,Feelings & Emotions,Resource Room
Magic Opposites,,,Activity Room,Activity Room
Maisy Makes Gingerbread,Lucy,Cousins,Gingerbread,Resource Room
Maisy's Morning on the Farm,Lucy,Cousins,Farm,Resource Room
Make New Friends,Barbie Heit,Schwaeber,How To Be A Friend,Resource Room
Making a Friend,Tammi,Sauer,How To Be A Friend,Resource Room
Making Ice Cream,Ted,Cortese,Summer,Resource Room
